INFO  - 2013-12-29 16:19:38.084; org.apache.solr.schema.IndexSchema; Reading Solr Schema from schema.xml
INFO  - 2013-12-29 16:19:38.250; org.apache.solr.schema.IndexSchema; [collection1] Schema name=example
INFO  - 2013-12-29 16:19:39.084; org.apache.solr.schema.IndexSchema; unique key field: id
INFO  - 2013-12-29 16:19:39.214; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-29 16:19:39.225; org.apache.solr.schema.FileExchangeRateProvider; Reloading exchange rates from file currency.xml
INFO  - 2013-12-29 16:19:39.489; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2013-12-29 16:19:39.498; org.apache.solr.core.SolrCore; [collection1] Opening new SolrCore at /Users/childbamboo1980/git/samples/solr/example/solr/collection1/, dataDir=/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/
INFO  - 2013-12-29 16:19:39.500; org.apache.solr.core.JmxMonitoredMap; No JMX servers found, not exposing Solr information with JMX.
INFO  - 2013-12-29 16:19:39.505; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for newSearcher: org.apache.solr.core.QuerySenderListener{queries=[]}
INFO  - 2013-12-29 16:19:39.505; org.apache.solr.core.SolrCore; [collection1] Added SolrEventListener for firstSearcher: org.apache.solr.core.QuerySenderListener{queries=[{q=static firstSearcher warming in solrconfig.xml}]}
INFO  - 2013-12-29 16:19:39.522; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/childbamboo1980/git/samples/solr/example/solr/collection1/data
INFO  - 2013-12-29 16:19:39.522; org.apache.solr.core.SolrCore; New index directory detected: old=null new=/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index/
WARN  - 2013-12-29 16:19:39.523; org.apache.solr.core.SolrCore; [collection1] Solr index directory '/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index' doesn't exist. Creating new index...
INFO  - 2013-12-29 16:19:39.532; org.apache.solr.core.CachingDirectoryFactory; return new directory for /Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index
INFO  - 2013-12-29 16:19:39.609; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@68b57af1; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-29 16:19:39.610; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-29 16:19:39.616; org.apache.solr.core.SolrCore; created json: solr.JSONResponseWriter
INFO  - 2013-12-29 16:19:39.617; org.apache.solr.core.SolrCore; adding lazy queryResponseWriter: solr.VelocityResponseWriter
INFO  - 2013-12-29 16:19:39.617; org.apache.solr.core.SolrCore; created velocity: solr.VelocityResponseWriter
INFO  - 2013-12-29 16:19:39.621; org.apache.solr.core.SolrCore; created xslt: solr.XSLTResponseWriter
INFO  - 2013-12-29 16:19:39.622; org.apache.solr.response.XSLTResponseWriter; xsltCacheLifetimeSeconds=5
INFO  - 2013-12-29 16:19:39.732; org.apache.solr.core.SolrCore; no updateRequestProcessorChain defined as default, creating implicit default
INFO  - 2013-12-29 16:19:39.743; org.apache.solr.core.RequestHandlers; created /select: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.744; org.apache.solr.core.RequestHandlers; created /query: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.746; org.apache.solr.core.RequestHandlers; created /get: solr.RealTimeGetHandler
INFO  - 2013-12-29 16:19:39.746; org.apache.solr.core.RequestHandlers; created /browse: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.749; org.apache.solr.core.RequestHandlers; created /update: solr.UpdateRequestHandler
WARN  - 2013-12-29 16:19:39.768; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.JsonUpdateRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-29 16:19:39.768; org.apache.solr.core.RequestHandlers; created /update/json: solr.JsonUpdateRequestHandler
WARN  - 2013-12-29 16:19:39.770; org.apache.solr.core.SolrResourceLoader; Solr loaded a deprecated plugin/analysis class [solr.CSVRequestHandler]. Please consult documentation how to replace it accordingly.
INFO  - 2013-12-29 16:19:39.771; org.apache.solr.core.RequestHandlers; created /update/csv: solr.CSVRequestHandler
INFO  - 2013-12-29 16:19:39.771; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-29 16:19:39.772; org.apache.solr.core.RequestHandlers; created /update/extract: solr.extraction.ExtractingRequestHandler
INFO  - 2013-12-29 16:19:39.772; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-29 16:19:39.772; org.apache.solr.core.RequestHandlers; created /analysis/field: solr.FieldAnalysisRequestHandler
INFO  - 2013-12-29 16:19:39.773; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-29 16:19:39.773; org.apache.solr.core.RequestHandlers; created /analysis/document: solr.DocumentAnalysisRequestHandler
INFO  - 2013-12-29 16:19:39.775; org.apache.solr.core.RequestHandlers; created /admin/: solr.admin.AdminHandlers
INFO  - 2013-12-29 16:19:39.777; org.apache.solr.core.RequestHandlers; created /admin/ping: solr.PingRequestHandler
INFO  - 2013-12-29 16:19:39.780; org.apache.solr.core.RequestHandlers; created /debug/dump: solr.DumpRequestHandler
INFO  - 2013-12-29 16:19:39.791; org.apache.solr.core.RequestHandlers; created /replication: solr.ReplicationHandler
INFO  - 2013-12-29 16:19:39.791; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.792; org.apache.solr.core.RequestHandlers; created /spell: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.792; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.792; org.apache.solr.core.RequestHandlers; created /tvrh: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.792; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-12-29 16:19:39.793; org.apache.solr.core.RequestHandlers; created /js: org.apache.solr.handler.js.JavaScriptRequestHandler
INFO  - 2013-12-29 16:19:39.793; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.793; org.apache.solr.core.RequestHandlers; created /terms: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.793; org.apache.solr.core.RequestHandlers; adding lazy requestHandler: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.794; org.apache.solr.core.RequestHandlers; created /elevate: solr.SearchHandler
INFO  - 2013-12-29 16:19:39.819; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-29 16:19:39.822; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-29 16:19:39.823; org.apache.solr.handler.loader.XMLLoader; xsltCacheLifetimeSeconds=60
INFO  - 2013-12-29 16:19:39.848; org.apache.solr.update.CommitTracker; Hard AutoCommit: if uncommited for 15000ms; 
INFO  - 2013-12-29 16:19:39.848; org.apache.solr.update.CommitTracker; Soft AutoCommit: disabled
INFO  - 2013-12-29 16:19:39.855; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onInit: commits: num=1
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@68b57af1; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_1,generation=1}
INFO  - 2013-12-29 16:19:39.856; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 1
INFO  - 2013-12-29 16:19:39.865; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@675ee9e3 main
INFO  - 2013-12-29 16:19:39.872; org.apache.solr.handler.component.SpellCheckComponent; Initializing spell checkers
INFO  - 2013-12-29 16:19:39.883; org.apache.solr.spelling.DirectSolrSpellChecker; init: {name=default,field=text,classname=solr.DirectSolrSpellChecker,distanceMeasure=internal,accuracy=0.5,maxEdits=2,minPrefix=1,maxInspections=5,minQueryLength=4,maxQueryFrequency=0.01}
INFO  - 2013-12-29 16:19:39.892; org.apache.solr.handler.component.SpellCheckComponent; No queryConverter defined, using default converter
INFO  - 2013-12-29 16:19:39.895; org.apache.solr.handler.component.QueryElevationComponent; Loading QueryElevation from: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/conf/elevate.xml
INFO  - 2013-12-29 16:19:39.961; org.apache.solr.handler.ReplicationHandler; Commits will be reserved for  10000
INFO  - 2013-12-29 16:19:39.962; org.apache.solr.core.CoreContainer; registering core: collection1
INFO  - 2013-12-29 16:19:39.962; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@675ee9e3 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-12-29 16:19:39.966; org.apache.solr.servlet.SolrDispatchFilter; user.dir=/Users/childbamboo1980/git/samples/solr/example
INFO  - 2013-12-29 16:19:39.986; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init() done
INFO  - 2013-12-29 16:19:40.189; org.apache.solr.core.SolrCore; [collection1] webapp=null path=null params={event=firstSearcher&q=static+firstSearcher+warming+in+solrconfig.xml&distrib=false} hits=0 status=0 QTime=219 
INFO  - 2013-12-29 16:19:40.190; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2013-12-29 16:19:40.190; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: default
INFO  - 2013-12-29 16:19:40.195; org.apache.solr.handler.component.SpellCheckComponent$SpellCheckerListener; Loading spell index for spellchecker: wordbreak
INFO  - 2013-12-29 16:19:40.196; org.apache.solr.core.SolrCore; [collection1] Registered new searcher Searcher@675ee9e3 main{StandardDirectoryReader(segments_1:1:nrt)}
INFO  - 2013-12-29 16:19:40.208; org.eclipse.jetty.server.AbstractConnector; Started SocketConnector@0.0.0.0:8983
INFO  - 2013-12-29 16:19:50.392; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/cores params={indexInfo=false&_=1388301590334&wt=json} status=0 QTime=6 
INFO  - 2013-12-29 16:19:50.614; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/system params={_=1388301590472&wt=json} status=0 QTime=122 
INFO  - 2013-12-29 16:19:51.787; org.apache.solr.servlet.SolrDispatchFilter; [admin] webapp=null path=/admin/info/logging params={_=1388301591766&since=0&wt=json} status=0 QTime=3 
INFO  - 2013-12-29 16:19:59.046; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-top.html&_=1388301599012&contentType=text/html;charset%3Dutf-8} status=0 QTime=12 
INFO  - 2013-12-29 16:19:59.065; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.menu-bottom.html&_=1388301599013&contentType=text/html;charset%3Dutf-8} status=0 QTime=2 
INFO  - 2013-12-29 16:19:59.183; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/replication params={command=details&_=1388301599135&wt=json} status=0 QTime=6 
INFO  - 2013-12-29 16:19:59.208; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/luke params={numTerms=0&_=1388301599128&show=index&wt=json} status=0 QTime=17 
INFO  - 2013-12-29 16:19:59.199; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/file/ params={file=admin-extra.html&_=1388301599139} status=0 QTime=2 
INFO  - 2013-12-29 16:19:59.318; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/ping params={action=status&_=1388301599141&wt=json} status=503 QTime=93 
INFO  - 2013-12-29 16:19:59.394; org.apache.solr.core.SolrCore; [collection1] webapp=/solr path=/admin/system params={_=1388301599137&wt=json} status=0 QTime=192 
INFO  - 2013-12-29 16:20:07.225; org.eclipse.jetty.server.Server; Graceful shutdown SocketConnector@0.0.0.0:8983
INFO  - 2013-12-29 16:20:07.227; org.eclipse.jetty.server.Server; Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/childbamboo1980/git/samples/solr/example/solr-webapp/webapp/},/Users/childbamboo1980/git/samples/solr/example/webapps/solr.war
INFO  - 2013-12-29 16:20:08.244; org.apache.solr.core.CoreContainer; Shutting down CoreContainer instance=2000169429
INFO  - 2013-12-29 16:20:08.245; org.apache.solr.core.SolrCore; [collection1]  CLOSING SolrCore org.apache.solr.core.SolrCore@5a56182f
INFO  - 2013-12-29 16:20:08.247; org.apache.solr.update.DirectUpdateHandler2; closing DirectUpdateHandler2{commits=0,autocommit maxTime=15000ms,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
INFO  - 2013-12-29 16:20:08.248; org.apache.solr.update.SolrCoreState; Closing SolrCoreState
INFO  - 2013-12-29 16:20:08.248; org.apache.solr.update.DefaultSolrCoreState; SolrCoreState ref count has reached 0 - closing IndexWriter
INFO  - 2013-12-29 16:20:08.249; org.apache.solr.update.DefaultSolrCoreState; closing IndexWriter with IndexWriterCloser
INFO  - 2013-12-29 16:20:08.252; org.apache.solr.core.SolrCore; [collection1] Closing main searcher on request.
INFO  - 2013-12-29 16:20:08.253; org.apache.solr.core.CachingDirectoryFactory; Closing NRTCachingDirectoryFactory - 2 directories currently being tracked
INFO  - 2013-12-29 16:20:08.254; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/childbamboo1980/git/samples/solr/example/solr/collection1/data [CachedDir<<refCount=0;path=/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data;done=false>>]
INFO  - 2013-12-29 16:20:08.254; org.apache.solr.core.CachingDirectoryFactory; Closing directory: /Users/childbamboo1980/git/samples/solr/example/solr/collection1/data
INFO  - 2013-12-29 16:20:08.255; org.apache.solr.core.CachingDirectoryFactory; looking to close /Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index [CachedDir<<refCount=0;path=/Users/childbamboo1980/git/samples/solr/example/solr/collection1/data/index;done=false>>]
